company,product,idea,industry,specialties,status,rating,published,article_url,latest_news_date,latest_news,notes
AliveCor,KardiaMobile,"Clinical-grade ECG in a credit card, read by FDA-cleared AI.",Medical Devices & MedTech,Cardiology,Already AI,4.2,2026-04-07,product.html?id=pulseguard,,,
Allisone,Allisone,French dental AI that turns the X-ray into a patient conversation.,Dental,Radiology; Dentistry,One to watch,3.7,2026-08-05,review.html?id=allisone,,,
Ambience,Ambience Healthcare,Ambient documentation with coding compliance as the core thesis.,Healthcare Administration & Revenue Cycle,Health Administration,Already AI,4.5,2026-07-10,review.html?id=ambience,,,
Annalise.ai (Harrison.ai),Annalise.ai,Comprehensive-read AI: 120+ findings on a single chest X-ray.,Diagnostics & Imaging,Radiology,Already AI,4.3,2026-05-02,review.html?id=annalise-ai,,,
Anomaly,Anomaly,AI that predicts and prevents claim denials before submission.,Payers & Health Insurance,Health Administration,One to watch,3.8,2026-05-15,review.html?id=anomaly,,,
Anterior,Anterior,Clinician-built LLM reasoning for utilization review.,Payers & Health Insurance,Health Administration,Already AI,4,2026-03-23,review.html?id=anterior,,,
Anumana,Anumana,Turning the ordinary ECG into a structural-heart-disease screen.,Diagnostics & Imaging,Radiology; Cardiology; Pulmonology,One to watch,4.2,2026-04-09,review.html?id=anumana,,,
Apixio,Apixio,The risk-adjustment NLP veteran mining charts at population scale.,Payers & Health Insurance,Health Administration,Already AI,4.1,2026-06-30,review.html?id=apixio,,,
Aqemia,Aqemia,"Quantum-inspired physics feeding generative chemistry, no experimental data needed.",Pharma & Life Sciences,Oncology; Drug Development,One to watch,3.9,2026-05-23,review.html?id=aqemia,,,
Arcadia,Arcadia,Analytics-grade population data for systems that treat VBC as a science.,Public & Population Health,Public Health,Already AI,4.1,2026-04-24,review.html?id=arcadia,,,
Arine,Arine,Medication intelligence deciding which member gets which pharmacist intervention.,Pharmacy & Medication Management,Pharmacy; Health Administration,Already AI,4,2026-05-07,review.html?id=arine,,,
Arini,Arini,An AI receptionist that never misses a dental practice's phone call.,Dental,Dentistry,One to watch,3.6,2026-05-30,review.html?id=arini,,,
ArisGlobal,LifeSphere NavaX,Touchless pharmacovigilance case processing at top-10-pharma scale.,Pharma & Life Sciences,Emergency Medicine; Pharmacy; Health Administration; Drug Development,Already AI,4.1,2026-07-05,review.html?id=arisglobal-lifesphere,,,
Artera,Artera,"The patient-communication backbone, upgraded with AI agents.",Primary & Ambulatory Care,Primary Care; Pharmacy; Health Administration,Already AI,4.2,2026-04-04,review.html?id=artera,,,
Artisight,Artisight,Smart-hospital computer vision for virtual nursing and safety.,Hospitals & Health Systems,Nursing; Geriatrics & Senior Care; Health Administration,Already AI,3.9,2026-04-27,review.html?id=artisight,,,
Assort Health,Assort Health,Specialty-tuned voice AI answering the phones that never stop ringing.,Primary & Ambulatory Care,Cardiology; Primary Care,One to watch,3.9,2026-06-30,review.html?id=assort-health,,,
Astrata,Astrata,"NLP for quality measurement, built by people who wrote the measures.",Payers & Health Insurance,Health Administration,One to watch,3.8,2026-05-05,review.html?id=astrata,,,
Atropos,Atropos Health,"Publication-grade real-world evidence, generated on demand.",Pharma & Life Sciences,Nursing; Drug Development,Already AI,4.2,2026-05-15,review.html?id=atropos-health,,,
Augmedix,Augmedix,Ambient medical documentation for hospitals and clinics.,Healthcare Administration & Revenue Cycle,Health Administration,Already AI,3.9,2026-03-15,review.html?id=augmedix,,,
Avicenna.AI,Avicenna.AI,"Emergency neuro and vascular findings, triaged fast.",Diagnostics & Imaging,Radiology; Cardiology; Neurology; Emergency Medicine; Pulmonology,Already AI,3.9,2026-03-25,review.html?id=avicenna-ai,,,
Bayesian Health,Bayesian Health,Real-time deterioration and sepsis detection from the record.,Hospitals & Health Systems,Critical Care; Nursing,One to watch,4,2026-04-04,review.html?id=bayesian-health,,,
BenevolentAI,BenevolentAI,Knowledge-graph AI for drug target discovery.,Pharma & Life Sciences,Pharmacy; Drug Development,Already AI,3.8,2026-04-07,review.html?id=benevolentai,,,
Big Health,Big Health,Evidence-based digital therapeutics for sleep and anxiety.,Medical Devices & MedTech,Mental & Behavioral Health,Already AI,4,2026-06-22,review.html?id=big-health,,,
Biobot,Biobot Analytics,"Reading community health from the sewer, at national scale.",Public & Population Health,Pharmacy; Genetics & Genomics; Pulmonology; Public Health; Health Administration,One to watch,3.9,2026-05-30,review.html?id=biobot-analytics,,,
Biofourmis,Biofourmis,"AI-personalized care-at-home: monitoring, analytics, and virtual clinicians.",Medical Devices & MedTech,Critical Care,Already AI,4,2026-07-15,review.html?id=biofourmis,,,
BioIntelliSense,BioButton,A coin-sized wearable feeding AI triage for thousands of monitored patients.,Medical Devices & MedTech,Emergency Medicine; Critical Care,Already AI,4,2026-03-25,review.html?id=biointellisense-biobutton,,,
Bioptimus,Bioptimus,A French bid to build the foundation model for all of biology.,Pharma & Life Sciences,Pathology; Drug Development,One to watch,3.8,2026-07-15,review.html?id=bioptimus,,,
Birdie,Birdie,"The operating system for home-care providers, with risk analytics built in.",Senior Care & Post-Acute,Critical Care; Pharmacy; Geriatrics & Senior Care; Health Administration,One to watch,3.7,2026-06-30,review.html?id=birdie,,,
BlueDot,BlueDot,The outbreak-intelligence engine that flagged COVID before the world knew.,Public & Population Health,Public Health,Already AI,4.3,2026-07-22,review.html?id=bluedot,,,
Blueprint,Blueprint,Measurement-based care and AI notes for the working therapist.,Mental & Behavioral Health,Mental & Behavioral Health; Health Administration,One to watch,3.8,2026-04-02,review.html?id=blueprint-health,,,
Brainomix,Brainomix,Stroke imaging AI with national-scale NHS outcome data behind it.,Diagnostics & Imaging,Radiology; Cardiology; Neurology; Emergency Medicine; Pulmonology,One to watch,4.3,2026-06-14,review.html?id=brainomix,,,
Buoy Health,Buoy Health,A consumer symptom checker that guides the next step of care.,Primary & Ambulatory Care,Emergency Medicine; Primary Care,Already AI,3.7,2026-05-20,review.html?id=buoy-health,,,
Butterfly Network,Butterfly iQ3,"Whole-body ultrasound on a chip, with AI guiding every scan.",Medical Devices & MedTech,Radiology; Critical Care; Women's Health; Pulmonology,Already AI,4.2,2026-07-28,review.html?id=butterfly-iq3,,,
Candid Health,Candid Health,"Claims infrastructure as clean, testable software.",Healthcare Administration & Revenue Cycle,Health Administration,One to watch,3.9,2026-03-13,review.html?id=candid-health,,,
care.ai,care.ai,Ambient monitoring for smart hospital rooms and senior care.,Hospitals & Health Systems,Nursing; Geriatrics & Senior Care; Health Administration,Already AI,3.8,2026-07-25,review.html?id=care-ai,,,
CarePredict,CarePredict,Wearable behavior-pattern AI predicting senior decline before events.,Senior Care & Post-Acute,Mental & Behavioral Health; Geriatrics & Senior Care,Already AI,3.9,2026-05-18,review.html?id=carepredict,,,
Caristo,Caristo Diagnostics,Reading coronary inflammation in the fat around the artery.,Diagnostics & Imaging,Radiology; Cardiology,One to watch,3.9,2026-05-20,review.html?id=caristo,,,
CathWorks,CathWorks,Non-invasive FFR from routine coronary angiography.,Diagnostics & Imaging,Radiology; Cardiology; Dermatology,Already AI,4,2026-07-28,review.html?id=cathworks,,,
Cellarity,Cellarity,"Designing medicines against cell behavior, not single targets.",Pharma & Life Sciences,Pharmacy; Drug Development,One to watch,3.8,2026-05-17,review.html?id=cellarity,,,
Cera,Cera,Home care where every visit feeds a model predicting deterioration.,Senior Care & Post-Acute,Emergency Medicine; Critical Care; Geriatrics & Senior Care; Health Administration,One to watch,4,2026-05-12,review.html?id=cera,,,
Certara,CoAuthor,"Generative regulatory writing, embedded where medical writers work.",Pharma & Life Sciences,Pharmacy; Drug Development,Already AI,4,2026-07-17,review.html?id=certara-coauthor,,,
Chai Discovery,Chai Discovery,"Open frontier models for molecular structure, and zero-shot antibody design.",Pharma & Life Sciences,Drug Development,One to watch,4.2,2026-07-30,review.html?id=chai-discovery,,,
Charm Therapeutics,Charm Therapeutics,Co-folding protein and drug together to design better binders.,Pharma & Life Sciences,Oncology; Pharmacy; Drug Development,One to watch,3.6,2026-08-09,review.html?id=charm-therapeutics,,,
Cherish Health,Cherish Health,"Radar that sees falls through walls, no camera, no wearable.",Senior Care & Post-Acute,Cardiology; Geriatrics & Senior Care; Pulmonology,One to watch,3.8,2026-07-23,product.html?id=homewatch,,,
Cleerly,Cleerly,"Plaque-first coronary analysis, quantifying the disease, not just the narrowing.",Diagnostics & Imaging,Radiology; Cardiology; Mental & Behavioral Health,Already AI,4.3,2026-07-15,review.html?id=cleerly,,,
ClosedLoop,ClosedLoop.ai,"Explainable healthcare prediction, proven in a CMS national competition.",Public & Population Health,Critical Care; Public Health,One to watch,3.9,2026-06-02,review.html?id=closedloop-ai,,,
CMR Surgical,CMR Surgical Versius,Britain's modular challenger to the surgical-robot duopoly.,Medical Devices & MedTech,Surgery,One to watch,3.8,2026-03-28,review.html?id=cmr-surgical,,,
CodaMetrix,CodaMetrix,Health-system-born autonomous coding across specialties.,Healthcare Administration & Revenue Cycle,Radiology; Pathology; Surgery; Genetics & Genomics; Health Administration,Already AI,4.2,2026-05-10,review.html?id=codametrix,,,
Codoxo,Codoxo,Generative + graph AI catching fraud schemes as they emerge.,Payers & Health Insurance,Health Administration,Already AI,4,2026-06-04,review.html?id=codoxo,,,
Cohere Health,Cohere Health,"Prior auth that approves in seconds, and nudges care toward evidence.",Payers & Health Insurance,Health Administration,Already AI,4.4,2026-06-04,review.html?id=cohere-health,,,
Commure,Commure,A unified operating layer for health-system workflows and AI.,Primary & Ambulatory Care,Primary Care; Health Administration,Already AI,3.8,2026-05-08,review.html?id=commure,,,
ConcertAI,ConcertAI,Oncology real-world data + AI SaaS for trials and evidence.,Pharma & Life Sciences,Oncology; Genetics & Genomics; Drug Development,Already AI,4,2026-06-09,review.html?id=concertai,,,
Congenica,Congenica,"Rare-disease genomic interpretation, forged in the 100,000 Genomes Project.",Diagnostics & Imaging,Radiology; Genetics & Genomics,One to watch,4,2026-06-17,review.html?id=congenica,,,
Consensus,Consensus,Evidence search that tells you what the literature collectively concludes.,Primary & Ambulatory Care,Primary Care,One to watch,3.8,2026-05-02,review.html?id=consensus,,,
Corsano,Corsano Health,"Medical-grade continuous vitals in a bracelet, built for research and care.",Medical Devices & MedTech,Cardiology; Pulmonology; Health Administration; Drug Development,One to watch,3.8,2026-03-28,review.html?id=corsano,,,
Corti,Corti,Real-time AI listening to emergency calls and clinical conversations.,Hospitals & Health Systems,Emergency Medicine; Nursing; Health Administration,One to watch,4.2,2026-07-30,review.html?id=corti,,,
Cradle,Cradle,Generative protein engineering as an everyday lab tool.,Pharma & Life Sciences,Genetics & Genomics; Drug Development,Already AI,4.1,2026-04-15,review.html?id=cradle-bio,,,
Curai Health,Curai Health,AI-first virtual primary care where the model drafts and clinicians decide.,Primary & Ambulatory Care,Emergency Medicine; Primary Care,One to watch,3.8,2026-06-09,review.html?id=curai-health,,,
Current Health (Best Buy),Current Health,A remote-monitoring platform for hospital-at-home.,Medical Devices & MedTech,Nursing,Already AI,3.9,2026-03-20,review.html?id=current-health,,,
Dandelion Health,Dandelion Health,Multimodal clinical data for validating AI before it touches patients.,Hospitals & Health Systems,Radiology; Cardiology,One to watch,4.1,2026-05-30,review.html?id=dandelion-health,,,
Deep 6 AI,Deep 6 AI,Clinical-trial patient matching straight from the record.,Pharma & Life Sciences,Drug Development,Already AI,3.9,2026-07-12,review.html?id=deep6-ai,,,
Deep Genomics,Deep Genomics,AI for RNA-targeted drug discovery.,Pharma & Life Sciences,Mental & Behavioral Health; Pharmacy; Genetics & Genomics; Drug Development,One to watch,3.8,2026-04-07,review.html?id=deep-genomics,,,
deepc,deepc,The vendor-neutral operating system for radiology AI.,Diagnostics & Imaging,Radiology,One to watch,4.1,2026-03-17,review.html?id=deepc,,,
DeepHealth (RadNet),DeepHealth,Breast and imaging AI backed by a large imaging network.,Diagnostics & Imaging,Radiology; Oncology; Health Administration,Already AI,4,2026-04-07,review.html?id=deephealth,,,
DeepScribe,DeepScribe,Ambient documentation with customisation controls in the customer's hands.,Healthcare Administration & Revenue Cycle,Primary Care; Health Administration,One to watch,3.8,2026-03-30,review.html?id=deepscribe,,,
DermaSensor,DermaSensor,FDA-cleared handheld skin-cancer evaluation for primary care.,Diagnostics & Imaging,Radiology; Oncology; Primary Care; Dermatology,Already AI,4,2026-07-15,review.html?id=dermasensor,,,
Develop Health,Develop Health,Automating the benefit checks that gate GLP-1s and specialty drugs.,Payers & Health Insurance,Surgery; Pharmacy; Health Administration,One to watch,3.7,2026-04-10,review.html?id=develop-health,,,
Digital Diagnostics,LumineticsCore (formerly IDx-DR),The first autonomous AI diagnostic ever authorized by the FDA.,Diagnostics & Imaging,Radiology; Endocrinology & Diabetes; Ophthalmology; Drug Development,Already AI,4.5,2026-03-20,product.html?id=retinascreen,,,
Distalmotion,Distalmotion Dexter,Swiss surgical robot designed to slot into an ordinary OR.,Medical Devices & MedTech,Dentistry; Surgery; Nursing,One to watch,4,2026-04-02,review.html?id=distalmotion,,,
DoseMe,DoseMeRx,Bayesian precision dosing making vancomycin (and more) hit target first time.,Pharmacy & Medication Management,Pharmacy,Already AI,4.1,2026-07-02,review.html?id=dosemerx,,,
Dosis,Dosis,"Personalised dosing for dialysis patients, protocol by protocol.",Pharmacy & Medication Management,Pharmacy; Health Administration,One to watch,3.6,2026-06-30,review.html?id=dosis,,,
EchoNous,EchoNous Kosmos,A pocket ultrasound built around the cardiac exam.,Medical Devices & MedTech,Cardiology,One to watch,3.8,2026-06-17,review.html?id=echonous,,,
Eko,Eko Health,The AI stethoscope: heart failure screening in a 15-second listen.,Medical Devices & MedTech,Cardiology,Already AI,4.4,2026-07-17,review.html?id=eko-health,,,
Element5,Element5,Agentic back-office automation purpose-built for post-acute care.,Senior Care & Post-Acute,Geriatrics & Senior Care; Health Administration,Already AI,3.9,2026-07-30,review.html?id=element5,,,
Eleos,Eleos Health,Ambient AI built for behavioral health's documentation and quality grind.,Mental & Behavioral Health,Mental & Behavioral Health; Health Administration,Already AI,4.3,2026-06-09,review.html?id=eleos-health,,,
Elsevier,ClinicalKey AI,Conversational search over a vetted medical library.,Primary & Ambulatory Care,Primary Care; Pharmacy,Already AI,3.9,2026-05-20,review.html?id=clinicalkey-ai,,,
Elucid,Elucid,Histology-validated plaque analysis from coronary CT.,Diagnostics & Imaging,Radiology; Pathology; Cardiology,One to watch,4,2026-03-28,review.html?id=elucid,,,
Empatica,Empatica,FDA-cleared wearable that detects seizures and powers digital endpoints.,Medical Devices & MedTech,Neurology; Oncology,One to watch,3.9,2026-04-24,review.html?id=empatica,,,
Enveda Biosciences,Enveda Biosciences,AI that mines nature's chemistry for new medicines.,Pharma & Life Sciences,Pharmacy; Drug Development,One to watch,3.9,2026-06-02,review.html?id=enveda,,,
EvolutionaryScale,EvolutionaryScale,"ESM3, a frontier language model for the language of proteins.",Pharma & Life Sciences,Genetics & Genomics; Drug Development,One to watch,4.2,2026-06-22,review.html?id=evolutionaryscale,,,
Exo,Exo,Handheld ultrasound with AI that grades the image as you scan.,Medical Devices & MedTech,Radiology; Health Administration,One to watch,4,2026-06-19,review.html?id=exo,,,
Eyenuk,EyeArt,Autonomous retinal screening with the largest pivotal trial in the category.,Diagnostics & Imaging,Radiology; Endocrinology & Diabetes; Ophthalmology,Already AI,4.2,2026-05-12,review.html?id=eyenuk-eyeart,,,
Fabric,Fabric,Conversational intake and virtual care automation for health systems.,Primary & Ambulatory Care,Emergency Medicine; Primary Care,Already AI,4.1,2026-08-02,review.html?id=fabric-health,,,
Fabric Genomics,Fabric Genomics,AI-assisted interpretation for clinical genomics.,Diagnostics & Imaging,Radiology; Oncology; Genetics & Genomics,Already AI,3.9,2026-06-07,review.html?id=fabric-genomics,,,
Faro Health,Faro Health,Designing trial protocols with their cost and burden visible upfront.,Pharma & Life Sciences,Drug Development,One to watch,3.7,2026-06-25,review.html?id=faro-health,,,
Fathom Health,Fathom,Deep-learning coding automation at national scale.,Healthcare Administration & Revenue Cycle,Radiology; Health Administration,Already AI,4.1,2026-05-25,review.html?id=fathom,,,
Ferrum Health,Ferrum Health,"Run and monitor many clinical AI models, safely, in one place.",Diagnostics & Imaging,Radiology,One to watch,3.8,2026-07-28,review.html?id=ferrum-health,,,
Fifth Eye,Fifth Eye,FDA-cleared instability warning from a single ECG lead.,Hospitals & Health Systems,Cardiology; Ophthalmology; Critical Care,One to watch,3.8,2026-07-17,review.html?id=fifth-eye,,,
Floy,Floy,Catching the incidental findings radiologists were never looking for.,Diagnostics & Imaging,Radiology; Cardiology; Dermatology,One to watch,3.8,2026-04-30,review.html?id=floy,,,
Freed,Freed,The clinician-bought scribe that spread without a sales team.,Healthcare Administration & Revenue Cycle,Health Administration,One to watch,4,2026-03-30,review.html?id=freed,,,
GE HealthCare (Caption Health),Caption Health,AI that guides anyone to capture a diagnostic echocardiogram.,Diagnostics & Imaging,Radiology; Cardiology,Already AI,4.1,2026-07-10,review.html?id=caption-health,,,
Generate Biomedicines,Generate Biomedicines,Generative biology that designs new proteins as medicines.,Pharma & Life Sciences,Genetics & Genomics; Drug Development,One to watch,4.2,2026-08-04,review.html?id=generate-biomedicines,,,
Genesis Therapeutics,Genesis Therapeutics,Molecular AI for small-molecule drug discovery.,Pharma & Life Sciences,Pharmacy; Drug Development,One to watch,4,2026-05-10,review.html?id=genesis-therapeutics,,,
Genomenon,Genomenon,"The genomic evidence layer, every variant, every paper.",Diagnostics & Imaging,Radiology; Genetics & Genomics,One to watch,4,2026-07-18,review.html?id=genomenon,,,
Ginkgo Bioworks,Ginkgo Biosecurity,National-scale pathogen monitoring and AI biosecurity infrastructure.,Public & Population Health,Genetics & Genomics; Public Health,Already AI,4,2026-07-20,review.html?id=ginkgo-biosecurity,,,
Glass Health,Glass Health,"AI for the diagnostic reasoning itself, DDx and plans on demand.",Primary & Ambulatory Care,Primary Care; Public Health,Already AI,4,2026-06-07,review.html?id=glass-health,,,
Gleamer,Gleamer,French radiology AI that started with the fracture nobody saw.,Diagnostics & Imaging,Radiology; Emergency Medicine,One to watch,4.2,2026-05-17,review.html?id=gleamer,,,
Health Catalyst,Health Catalyst Ignite,"Data + improvement science, with AI woven through the analytics stack.",Public & Population Health,Genetics & Genomics; Public Health; Health Administration,Already AI,3.9,2026-05-22,review.html?id=health-catalyst,,,
HeartFlow,HeartFlow FFRct,The non-invasive cath lab: FFR computed from coronary CT.,Diagnostics & Imaging,Radiology; Cardiology; Dermatology,Already AI,4.7,2026-08-14,review.html?id=heartflow,,,
Heidi,Heidi Health,Global-first ambient AI sweeping clinics across continents.,Healthcare Administration & Revenue Cycle,Primary Care; Nursing; Health Administration,Already AI,4.2,2026-06-17,review.html?id=heidi-health,,,
Hello Heart,Hello Heart,A heart-health app that coaches people between doctor visits.,Medical Devices & MedTech,Cardiology,Already AI,3.8,2026-06-22,review.html?id=hello-heart,,,
Hilo,Hilo (formerly Aktiia),"Cuffless blood pressure, measured continuously from the wrist.",Medical Devices & MedTech,Primary Care,One to watch,4,2026-07-27,review.html?id=hilo-aktiia,,,
Hinge Health,Hinge Health,"The scaled MSK leader, TrueMotion CV therapy, now publicly traded.",Medical Devices & MedTech,Emergency Medicine; Mental & Behavioral Health; Women's Health,Already AI,4.3,2026-03-28,product.html?id=hinge-health-ai-pt,,,
Hippocratic AI,Hippocratic AI,A safety-first healthcare LLM powering AI agents for patient phone calls.,Primary & Ambulatory Care,Primary Care; Nursing,One to watch,4.2,2026-05-22,review.html?id=hippocratic-ai,,,
Huma,Huma,A regulated platform others build their remote-care products on.,Medical Devices & MedTech,Health Administration; Drug Development,One to watch,3.8,2026-07-25,review.html?id=huma,,,
Humata Health,Humata Health,Touchless prior auth built from the provider's side of the fax machine.,Payers & Health Insurance,Health Administration,One to watch,3.9,2026-07-03,review.html?id=humata-health,,,
Hyro,Hyro,Responsible conversational AI for health-system call centers.,Primary & Ambulatory Care,Primary Care,Already AI,4,2026-04-30,review.html?id=hyro,,,
Iambic,Iambic Therapeutics,AI-designed oncology assets already reading out in the clinic.,Pharma & Life Sciences,Oncology; Health Administration; Drug Development,One to watch,4,2026-06-15,review.html?id=iambic-therapeutics,,,
Ibex,Ibex Medical Analytics,AI-first cancer diagnostics running live in high-volume labs.,Diagnostics & Imaging,Radiology; Pathology; Oncology,Already AI,4.3,2026-03-25,review.html?id=ibex,,,
icometrix,icometrix,"Neuroimaging AI quantifying MS, dementia, and brain injury.",Diagnostics & Imaging,Radiology; Neurology; Emergency Medicine; Dermatology,Already AI,4.1,2026-04-27,review.html?id=icometrix,,,
Idoven,Idoven,"Cardiology-grade ECG interpretation at scale, from Madrid.",Diagnostics & Imaging,Radiology; Cardiology; Primary Care; Drug Development,One to watch,3.9,2026-06-27,review.html?id=idoven,,,
ieso Digital Health,ieso,A million therapy transcripts turned into a science of what works.,Mental & Behavioral Health,Mental & Behavioral Health,One to watch,3.9,2026-07-07,review.html?id=ieso,,,
Illumina,Illumina Emedgene,AI-prioritized rare-disease interpretation from the sequencing giant.,Diagnostics & Imaging,Radiology; Genetics & Genomics,Already AI,4.2,2026-06-19,review.html?id=illumina-emedgene,,,
Inato,Inato,Opening trials to community sites where most patients actually are.,Pharma & Life Sciences,Drug Development,One to watch,3.8,2026-06-14,review.html?id=inato,,,
Indica Labs,Indica Labs,Digital-pathology image analysis and workflow at scale.,Diagnostics & Imaging,Radiology; Pathology,Already AI,4,2026-06-20,review.html?id=indica-labs,,,
Infermedica,Infermedica,Symptom assessment and triage that routes patients to the right level of care.,Primary & Ambulatory Care,Emergency Medicine; Primary Care,Already AI,4,2026-04-09,review.html?id=infermedica,,,
Infinitus Systems,Infinitus,AI voice agents that sit on hold with payers so humans don't.,Healthcare Administration & Revenue Cycle,Pharmacy; Health Administration,Already AI,4.4,2026-04-27,review.html?id=infinitus,,,
Innovaccer,Innovaccer,The healthcare-data platform racing to be population health's AI cloud.,Public & Population Health,Public Health; Health Administration,Already AI,4.2,2026-06-24,review.html?id=innovaccer,,,
InsightRX,InsightRX,"Precision dosing across a broad drug library, with analytics behind it.",Pharmacy & Medication Management,Oncology; Pharmacy; Health Administration,One to watch,3.8,2026-06-15,review.html?id=insightrx,,,
Insilico,Insilico Medicine,The most clinically advanced generative-AI drug pipeline.,Pharma & Life Sciences,Surgery; Pharmacy; Drug Development,Already AI,4.4,2026-03-20,review.html?id=insilico-medicine,,,
insitro,insitro,Machine learning plus lab biology to pick better drug targets.,Pharma & Life Sciences,Pharmacy; Drug Development,One to watch,4,2026-07-30,review.html?id=insitro,,,
Intuition Robotics,ElliQ,"The proactive companion robot fighting elder loneliness, state-deployed.",Senior Care & Post-Acute,Surgery; Geriatrics & Senior Care,Already AI,4,2026-06-07,review.html?id=elliq,,,
Intuitive Surgical,da Vinci 5,"The fifth-generation robot with 10,000× the compute, built for an AI decade.",Medical Devices & MedTech,Emergency Medicine; Dentistry; Surgery,Already AI,4.6,2026-07-05,review.html?id=davinci-5,,,
Iodine,Iodine Software,The CDI engine ensuring the record reflects how sick patients really are.,Healthcare Administration & Revenue Cycle,Health Administration,Already AI,4.3,2026-07-20,review.html?id=iodine-software,,,
Isomorphic Labs (Alphabet),Isomorphic Labs,"The AlphaFold company, rebuilding drug design from first principles.",Pharma & Life Sciences,Pharmacy; Genetics & Genomics; Drug Development,One to watch,4.5,2026-06-02,product.html?id=isomorphic-labs,,,
Iterative Health,Iterative Health,AI for GI endoscopy and precision care in IBD.,Diagnostics & Imaging,Radiology; Gastroenterology,One to watch,3.9,2026-06-04,review.html?id=iterative-health,,,
Johnson & Johnson MedTech,Ottava,"J&J's unified-architecture robot, betting on OR integration.",Medical Devices & MedTech,Surgery; Drug Development,One to watch,3.7,2026-07-28,review.html?id=jnj-ottava,,,
K Health,K Health,AI-first primary care: chat intake to clinician visit in one flow.,Primary & Ambulatory Care,Emergency Medicine; Primary Care; Mental & Behavioral Health; Pharmacy,Already AI,4.1,2026-05-20,review.html?id=k-health,,,
Kaia Health,Kaia Health,Motion-tracking MSK therapy with German reimbursement behind it.,Medical Devices & MedTech,Mental & Behavioral Health; Pharmacy; Pulmonology,One to watch,3.8,2026-05-10,review.html?id=kaia-health,,,
Kepler Vision,Kepler Vision Technologies,"Dutch computer vision that understands body language, not just motion.",Senior Care & Post-Acute,Nursing; Geriatrics & Senior Care; Health Administration,One to watch,3.7,2026-05-23,review.html?id=kepler-vision,,,
Kintsugi,Kintsugi,Detecting depression and anxiety from short samples of voice.,Mental & Behavioral Health,Oncology; Mental & Behavioral Health,One to watch,3.6,2026-04-17,review.html?id=kintsugi,,,
Latent Labs,Latent Labs,"Ex-DeepMind protein design, delivered through the browser.",Pharma & Life Sciences,Drug Development,One to watch,3.8,2026-03-25,review.html?id=latent-labs,,,
Laudio,Laudio,AI for the frontline manager holding the staffing crisis together.,Hospitals & Health Systems,Nursing; Health Administration,One to watch,4,2026-07-23,review.html?id=laudio,,,
Layer Health,Layer Health,MIT-born LLMs that read the whole chart and answer clinical questions.,Hospitals & Health Systems,,One to watch,4,2026-05-10,review.html?id=layer-health,,,
LeanTaaS,LeanTaaS,"Capacity optimization for ORs, infusion centers, and inpatient beds.",Hospitals & Health Systems,Health Administration,Already AI,4.1,2026-06-04,review.html?id=leantaas,,,
Legit.Health,Legit.Health,"Quantifying skin disease severity, not just spotting cancer.",Diagnostics & Imaging,Radiology; Oncology; Mental & Behavioral Health; Dermatology,One to watch,3.8,2026-07-13,review.html?id=legit-health,,,
